-------------------------------Rules------------------------------
R 1:                1 ==> 2
R467:                4, 6 ==> 3, 5
R468:                3, 4, 5 ==> 6
R469:                3, 4, 6 ==> 5
R470:                4, 5, 6 ==> 3
R471:                3, 4, 7 ==> 5
R472:                3, 5, 7 ==> 4
R473:                4, 5, 7 ==> 3
R474:                3, 4, 8 ==> 5
R475:                3, 5, 8 ==> 4
R476:                4, 5, 8 ==> 3
R477:                4, 9 ==> 3, 5
R478:                3, 4, 9 ==> 5
R479:                4, 5, 9 ==> 3
R480:                6, 7 ==> 3, 4
R481:                3, 6, 7 ==> 4
R482:                4, 6, 7 ==> 3
R483:                3, 4, 8 ==> 6
R484:                3, 6, 8 ==> 4
R485:                4, 6, 8 ==> 3
R486:                4, 9 ==> 3, 6
R487:                3, 4, 9 ==> 6
R488:                4, 6, 9 ==> 3
R489:                3, 4, 8 ==> 7
R490:                3, 7, 8 ==> 4
R491:                7, 9 ==> 3, 4
R492:                3, 7, 9 ==> 4
R493:                4, 7, 9 ==> 3
R494:                3, 4, 9 ==> 8
R495:                3, 8, 9 ==> 4
R496:                4, 8, 9 ==> 3
R497:                6, 7 ==> 3, 5
R498:                3, 5, 7 ==> 6
R499:                3, 6, 7 ==> 5
R500:                5, 6, 7 ==> 3
R501:                6, 8 ==> 3, 5
R502:                3, 8 ==> 5, 6
R503:                3, 5, 8 ==> 6
R504:                3, 6, 8 ==> 5
R505:                5, 6, 8 ==> 3
R506:                5, 9 ==> 3, 6
R507:                3, 5, 9 ==> 6
R508:                3, 6, 9 ==> 5
R509:                5, 6, 9 ==> 3
R510:                3, 5, 7 ==> 8
R511:                3, 7, 8 ==> 5
R512:                5, 7, 8 ==> 3
R513:                7, 9 ==> 3, 5
R514:                3, 7, 9 ==> 5
R515:                5, 7, 9 ==> 3
R516:                8, 9 ==> 3, 5
R517:                3, 5, 8 ==> 9
R518:                3, 5, 9 ==> 8
R519:                3, 8, 9 ==> 5
R520:                5, 8, 9 ==> 3
R521:                3, 7, 8 ==> 6
R522:                6, 7, 8 ==> 3
R523:                7, 9 ==> 3, 6
R524:                3, 7, 9 ==> 6
R525:                6, 7, 9 ==> 3
R526:                8, 9 ==> 3, 6
R527:                6, 8 ==> 3, 9
R528:                3, 6, 8 ==> 9
R529:                3, 8, 9 ==> 6
R530:                6, 8, 9 ==> 3
R531:                7, 9 ==> 3, 8
R532:                3, 7, 9 ==> 8
R533:                7, 8, 9 ==> 3
R534:                6, 7 ==> 4, 5
R535:                4, 5, 6 ==> 7
R536:                4, 6, 7 ==> 5
R537:                5, 6, 7 ==> 4
R538:                4, 6, 8 ==> 5
R539:                5, 6, 8 ==> 4
R540:                4, 9 ==> 5, 6
R541:                4, 5, 9 ==> 6
R542:                4, 6, 9 ==> 5
R543:                7, 8 ==> 4, 5
R544:                4, 8 ==> 5, 7
R545:                4, 5, 7 ==> 8
R546:                4, 5, 8 ==> 7
R547:                4, 7, 8 ==> 5
R548:                5, 7, 8 ==> 4
R549:                7, 9 ==> 4, 5
R550:                4, 5, 9 ==> 7
R551:                4, 7, 9 ==> 5
R552:                5, 7, 9 ==> 4
R553:                4, 5, 9 ==> 8
R554:                4, 8, 9 ==> 5
R555:                5, 8, 9 ==> 4
R556:                4, 6, 8 ==> 7
R557:                6, 7, 8 ==> 4
R558:                7, 9 ==> 4, 6
R559:                4, 7, 9 ==> 6
R560:                6, 7, 9 ==> 4
R561:                4, 6, 8 ==> 9
R562:                4, 6, 9 ==> 8
R563:                4, 8, 9 ==> 6
R564:                6, 8, 9 ==> 4
R565:                7, 9 ==> 4, 8
R566:                4, 7, 9 ==> 8
R567:                4, 8, 9 ==> 7
R568:                7, 8, 9 ==> 4
R569:                5, 6, 7 ==> 8
R570:                6, 7, 8 ==> 5
R571:                7, 9 ==> 5, 6
R572:                5, 6, 7 ==> 9
R573:                5, 7, 9 ==> 6
R574:                6, 7, 9 ==> 5
R575:                8, 9 ==> 5, 6
R576:                6, 8 ==> 5, 9
R577:                5, 6, 8 ==> 9
R578:                5, 6, 9 ==> 8
R579:                5, 8, 9 ==> 6
R580:                6, 8, 9 ==> 5
R581:                7, 9 ==> 5, 8
R582:                5, 7, 9 ==> 8
R583:                7, 8, 9 ==> 5
R584:                7, 9 ==> 6, 8
R585:                6, 7, 8 ==> 9
R586:                6, 7, 9 ==> 8
R587:                7, 8, 9 ==> 6
R588:                3, 4, 5 ==> 1, 2
R589:                2, 4, 5 ==> 1, 3
R590:                1, 3, 5 ==> 2, 4
R591:                1, 2, 3, 5 ==> 4
R592:                1, 2, 4, 5 ==> 3
R593:                1, 3, 4, 5 ==> 2
R594:                2, 3, 4, 5 ==> 1
R595:                4, 6 ==> 1, 2, 3
R596:                3, 4, 6 ==> 1, 2
R597:                2, 4, 6 ==> 1, 3
R598:                1, 4, 6 ==> 2, 3
R599:                1, 2, 4, 6 ==> 3
R600:                1, 3, 4, 6 ==> 2
R601:                2, 3, 4, 6 ==> 1
R602:                3, 7 ==> 1, 2, 4
R603:                3, 4, 7 ==> 1, 2
R604:                2, 4, 7 ==> 1, 3
R605:                2, 3, 7 ==> 1, 4
R606:                1, 3, 7 ==> 2, 4
R607:                1, 2, 7 ==> 3, 4
R608:                1, 2, 3, 7 ==> 4
R609:                1, 2, 4, 7 ==> 3
R610:                1, 3, 4, 7 ==> 2
R611:                2, 3, 4, 7 ==> 1
R612:                3, 4, 8 ==> 1, 2
R613:                2, 4, 8 ==> 1, 3
R614:                2, 3, 8 ==> 1, 4
R615:                1, 3, 8 ==> 2, 4
R616:                1, 2, 3, 8 ==> 4
R617:                1, 2, 4, 8 ==> 3
R618:                1, 3, 4, 8 ==> 2
R619:                2, 3, 4, 8 ==> 1
R620:                4, 9 ==> 1, 2, 3
R621:                3, 4, 9 ==> 1, 2
R622:                2, 4, 9 ==> 1, 3
R623:                1, 4, 9 ==> 2, 3
R624:                1, 2, 9 ==> 3, 4
R625:                1, 2, 3, 9 ==> 4
R626:                1, 2, 4, 9 ==> 3
R627:                1, 3, 4, 9 ==> 2
R628:                2, 3, 4, 9 ==> 1
R629:                2, 5, 6 ==> 1, 3
R630:                1, 5, 6 ==> 2, 3
R631:                1, 2, 3, 5 ==> 6
R632:                1, 2, 5, 6 ==> 3
R633:                1, 3, 5, 6 ==> 2
R634:                2, 3, 5, 6 ==> 1
R635:                3, 5, 7 ==> 1, 2
R636:                2, 5, 7 ==> 1, 3
R637:                1, 2, 3, 7 ==> 5
R638:                1, 2, 5, 7 ==> 3
R639:                1, 3, 5, 7 ==> 2
R640:                2, 3, 5, 7 ==> 1
R641:                3, 5, 8 ==> 1, 2
R642:                2, 3, 8 ==> 1, 5
R643:                1, 5, 8 ==> 2, 3
R644:                1, 3, 8 ==> 2, 5
R645:                1, 2, 8 ==> 3, 5
R646:                1, 2, 3, 8 ==> 5
R647:                1, 2, 5, 8 ==> 3
R648:                1, 3, 5, 8 ==> 2
R649:                2, 3, 5, 8 ==> 1
R650:                2, 5, 9 ==> 1, 3
R651:                1, 5, 9 ==> 2, 3
R652:                1, 2, 3, 9 ==> 5
R653:                1, 2, 5, 9 ==> 3
R654:                1, 3, 5, 9 ==> 2
R655:                2, 3, 5, 9 ==> 1
R656:                6, 7 ==> 1, 2, 3
R657:                3, 6, 7 ==> 1, 2
R658:                2, 6, 7 ==> 1, 3
R659:                1, 6, 7 ==> 2, 3
R660:                1, 2, 6, 7 ==> 3
R661:                1, 3, 6, 7 ==> 2
R662:                2, 3, 6, 7 ==> 1
R663:                3, 6, 8 ==> 1, 2
R664:                2, 6, 8 ==> 1, 3
R665:                1, 6, 8 ==> 2, 3
R666:                1, 2, 3, 8 ==> 6
R667:                1, 2, 6, 8 ==> 3
R668:                1, 3, 6, 8 ==> 2
R669:                2, 3, 6, 8 ==> 1
R670:                1, 9 ==> 2, 3, 6
R671:                2, 6, 9 ==> 1, 3
R672:                1, 6, 9 ==> 2, 3
R673:                1, 3, 9 ==> 2, 6
R674:                1, 2, 9 ==> 3, 6
R675:                1, 2, 3, 9 ==> 6
R676:                1, 2, 6, 9 ==> 3
R677:                1, 3, 6, 9 ==> 2
